modelo,modo,top1,top3,log_loss,dist_median_km,version,regla
persistencia,—,0.7778,0.7778,,20.9242,L2-v0,argmax
markov,—,0.5518,0.6374,,24.7127,L2-v0,argmax
persistencia@91916A,—,0.6897,0.6897,,16.5616,L2-v0,argmax
markov@91916A,—,0.6626,0.7709,,14.8192,L2-v0,argmax
rf,personalizado,0.6601,0.7931,4.3269,14.3904,L2-v0,argmax
xgb,personalizado,0.6404,0.7512,4.5642,16.5799,L2-v0,argmax
rf,poblacional,0.5758,0.7316,5.4878,24.116,L2-v0,argmax
xgb,poblacional,0.5818,0.702,5.601,24.2936,L2-v0,argmax
lgbm,poblacional,0.3591,0.5785,13.1173,147.7128,L2-v0,argmax
rf,poblacional@91916A,0.6527,0.7709,2.7241,14.8192,L2-v0,argmax
xgb,poblacional@91916A,0.6724,0.7906,2.9153,16.5799,L2-v0,argmax
rf,personalizado,0.7821,0.871,2.6952,20.8384,L2-v1,soft
rf,personalizado,0.7742,0.7758,,20.926,L2-v1,hard
rf,poblacional,0.7821,0.8687,2.702,20.8384,L2-v1,soft
rf,poblacional,0.7742,0.7758,,20.926,L2-v1,hard
xgb,personalizado,0.7806,0.8654,2.7978,20.8384,L2-v1,soft
xgb,personalizado,0.771,0.773,,20.9489,L2-v1,hard
xgb,poblacional,0.7821,0.8644,2.8042,20.8384,L2-v1,soft
xgb,poblacional,0.7712,0.7732,,20.9489,L2-v1,hard
