version,modelo,modo,state,n_obs,top1,top3,dist_median_km
L2-v0 causal,rf,personalizado,global,406,0.6601,0.7931,14.3904
L2-v0 causal,rf,personalizado,estacionario,358,0.7179,0.8575,13.462
L2-v0 causal,rf,personalizado,migración,48,0.2292,0.3125,218.4005
L2-v1 soft,rf,personalizado,global,3960,0.7821,0.871,20.8384
L2-v1 soft,rf,personalizado,estacionario,3509,0.847,0.9322,19.2367
L2-v1 soft,rf,personalizado,migración,451,0.2772,0.3947,54.3836
L2-v0 causal,xgb,poblacional,global,3960,0.5818,0.702,24.2936
L2-v0 causal,xgb,poblacional,estacionario,3509,0.6386,0.762,23.065
L2-v0 causal,xgb,poblacional,migración,451,0.1397,0.235,154.0105
L2-v1 soft,xgb,poblacional,global,3960,0.7821,0.8644,20.8384
L2-v1 soft,xgb,poblacional,estacionario,3509,0.8464,0.9285,19.2367
L2-v1 soft,xgb,poblacional,migración,451,0.2816,0.3659,52.4066
