modelo,modo,n_favorable,n_desfavorable,top1_favorable,top1_desfavorable,delta
rf,personalizado,253,193,0.07509881422924901,0.14507772020725387,-0.06997890597800487
rf,poblacional,253,193,0.07114624505928854,0.13471502590673576,-0.06356878084744721
xgb,personalizado,253,193,0.07905138339920949,0.13471502590673576,-0.05566364250752627
xgb,poblacional,253,193,0.07905138339920949,0.12953367875647667,-0.050482295357267185
