etiqueta,top1,top3,log_loss,dist_median_km
rf/individual,0.6600985221674877,0.7931034482758621,4.326926328178546,14.390374047054099
xgb/individual,0.6403940886699507,0.7512315270935961,4.564244308395695,16.579868469997674
rf/poblacional@91916A,0.6527093596059114,0.770935960591133,2.7241198710365655,14.819201422174519
xgb/poblacional@91916A,0.6724137931034483,0.7906403940886699,2.915298471393905,16.579868469997674
persistencia@91916A,0.6896551724137931,0.6896551724137931,,16.561635559720315
markov@91916A,0.6625615763546798,0.770935960591133,,14.819201422174519
