bird_id,pct_migration_a,pct_migration_b
91732A,19.402985074626866,20.042643923240938
91734A,16.0,17.599999999999998
91735A,20.535714285714285,4.464285714285714
91737A,25.0,27.86885245901639
91738A,22.105263157894736,18.947368421052634
91739A,13.671274961597543,14.746543778801843
91740A,0.0,0.0
91741A,9.523809523809524,9.523809523809524
91742A,11.926605504587156,11.46788990825688
91743A,36.58536585365854,0.0
91745A,11.666666666666666,11.666666666666666
91746A,23.89937106918239,26.41509433962264
91747A,9.375,9.375
91748A,0.0,0.0
91749A,10.687022900763358,11.450381679389313
91750A,16.666666666666664,16.666666666666664
91751A,9.285714285714286,8.571428571428571
91752A,2.8611304954640615,2.930914166085136
91754A,20.0,19.0
91758A,19.217081850533805,19.9288256227758
91759A,33.939393939393945,29.6969696969697
91761A,20.262096774193548,21.875
91762A,14.484679665738161,15.87743732590529
91763A,8.233413269384492,9.03277378097522
91764A,20.833333333333336,23.61111111111111
91766A,0.0,0.0
91771A,7.792207792207792,7.792207792207792
91774A,9.6,11.200000000000001
91775A,12.844036697247708,13.761467889908257
91776A,0.0,0.0
91779A,36.36363636363637,23.232323232323232
91780A,20.233463035019454,19.844357976653697
91781A,10.79136690647482,9.352517985611511
91782A,14.429530201342283,16.44295302013423
91783A,13.541666666666666,13.541666666666666
91788A,33.33333333333333,37.83783783783784
91789A,7.528230865746549,7.528230865746549
91794A,20.388349514563107,19.41747572815534
91795A,0.0,0.0
91798A,6.896551724137931,0.0
91799A,16.0,14.000000000000002
91802A,9.900990099009901,8.91089108910891
91803A,23.008849557522122,26.548672566371685
91809A,11.602209944751381,12.70718232044199
91810A,7.5,0.0
91811A,15.714285714285714,17.61904761904762
91812A,6.796116504854369,6.796116504854369
91813A,12.0,10.0
91814A,8.006814310051109,9.28449744463373
91819A,14.912280701754385,17.543859649122805
91821A,13.924050632911392,13.924050632911392
91823A,15.198237885462554,11.086637298091043
91824A,12.554112554112553,13.852813852813853
91826A,26.82926829268293,26.82926829268293
91831A,31.11111111111111,35.11111111111111
91832A,16.928657799274486,18.016928657799276
91836A,10.909090909090908,11.818181818181818
91837A,23.969072164948454,26.288659793814436
91845A,40.0,43.75
91846A,23.98843930635838,25.43352601156069
91849A,32.0,32.0
91852A,6.451612903225806,6.451612903225806
91861A,30.681818181818183,30.681818181818183
91862A,6.7934782608695645,6.7934782608695645
91864A,6.844547563805105,7.192575406032482
91865A,0.0,0.0
91870A,0.0,0.0
91871A,22.52252252252252,26.126126126126124
91872A,25.862068965517242,29.310344827586203
91877A,17.56756756756757,17.56756756756757
91878A,10.81081081081081,11.351351351351353
91881A,31.08108108108108,32.432432432432435
91884A,8.0,8.0
91893A,32.25806451612903,32.25806451612903
91900A,11.428571428571429,11.428571428571429
91903A,19.736842105263158,19.736842105263158
91907A,22.115384615384613,22.115384615384613
91908A,23.25581395348837,20.930232558139537
91910A,12.658227848101266,13.164556962025317
91911A,1.6129032258064515,1.6129032258064515
91916A,11.847879083373963,12.530472940029256
91920A,24.390243902439025,24.390243902439025
