modelo,modo,top1,top3,log_loss,dist_median_km,top1_dias_movimiento
rf,poblacional,0.5757575757575758,0.7315656565656565,5.487800977056597,24.116020173131368,0.16363636363636364
xgb,poblacional,0.5818181818181818,0.702020202020202,5.601002660061624,24.293611137954258,0.175
lgbm,poblacional,0.35909090909090907,0.5785353535353536,13.117276206743043,147.7128446584967,0.09659090909090909
markov,—,0.5517676767676768,0.6373737373737374,,24.712692312706885,0.08863636363636364
markov@91916A,—,0.6625615763546798,0.770935960591133,,14.819201422174519,
persistencia,—,0.7777777777777778,0.7777777777777778,,20.924218147750064,0.0
persistencia@91916A,—,0.6896551724137931,0.6896551724137931,,16.561635559720315,
