date_utc,pred_lat,pred_lon,dlat_p10,dlat_p90,dlon_p10,dlon_p90
2014-07-05,61.39062798145413,24.388972945930362,-0.007824945263564587,0.10619458556175232,-0.35538604855537415,0.017848322167992592
2014-07-15,61.36362578479767,24.362640744760633,-0.11672390252351761,0.2010885328054428,-0.49564117193222046,0.14549139142036438
2014-07-25,61.40684927638054,24.264265493929386,0.005244892090559006,0.185466468334198,-0.41179749369621277,0.008510732091963291
2014-08-04,61.360353189626636,24.37871603509357,-0.26286837458610535,0.11211144179105759,-0.37549641728401184,0.3466695547103882
2014-08-14,61.35958079023838,24.241957927627563,-0.18806156516075134,0.003778716316446662,-0.06729717552661896,0.46153536438941956
2014-08-24,61.43580358381748,24.06875059366405,-0.9453691244125366,0.015210713259875774,-0.2367880642414093,0.650571882724762
2014-09-03,54.6122604070884,19.389030917072596,-0.37023499608039856,0.08866635710000992,-0.16893620789051056,0.03850898891687393
2014-09-13,54.46812283171907,18.80970300613895,-0.14280149340629578,0.1022215336561203,-0.14082476496696472,0.5853683948516846
2014-09-23,44.424199305534366,28.060619022803305,-6.079669952392578,1.8686524629592896,-1.086033582687378,2.4987337589263916
2014-10-03,33.88497654470801,35.54044164875329,-0.8629426956176758,0.17155365645885468,-0.41242364048957825,0.3561505377292633
2014-10-13,31.499539163380863,32.40822190787077,-0.09176535159349442,0.29246753454208374,-0.4181087017059326,1.5205390453338623
2014-10-23,28.373237500786782,33.24957698402554,-1.1409209966659546,-0.004826442338526249,-0.13665464520454407,0.6519542336463928
2014-11-02,24.02817722417593,38.006690253465365,-1.6343568563461304,0.041201431304216385,-0.16355834901332855,0.6088070273399353
2014-11-12,21.176180504215957,39.16743654444993,-0.12468031793832779,0.009098317474126816,-0.0312635712325573,0.02819017879664898
2014-11-22,21.166556588426232,39.17102397019595,-0.08878170698881149,0.14191320538520813,-0.038389962166547775,0.05397234857082367
2014-12-02,21.19359119746834,39.16829562123873,-0.039843540638685226,0.04199127480387688,-0.03653121367096901,0.025668537244200706
2014-12-12,21.132633960040213,39.18192226582944,-0.030615564435720444,0.09288687258958817,-0.04151197522878647,0.027639638632535934
2014-12-22,21.167682089976967,39.17189315615975,-0.2787100076675415,0.06312205642461777,-0.09680581837892532,0.04979855194687843
2015-01-01,21.139005036570133,39.171745907775126,-0.05290646851062775,0.04912954568862915,-0.03974424675107002,0.04037395864725113
2015-01-11,21.177922482630162,39.16708002564683,-0.050756070762872696,0.04721236228942871,-0.0375806987285614,0.020321199670433998
2015-01-21,21.21203483102292,39.162652889118455,-0.11870667338371277,0.0764862596988678,-0.14328990876674652,0.05232902243733406
2015-01-31,21.18643281153023,39.16790838442743,-0.22248736023902893,0.014523881487548351,-0.030301155522465706,0.030441908165812492
2015-02-10,21.18833666881919,39.16706250103571,-0.29771143198013306,0.023705216124653816,-0.03118436224758625,0.04829094558954239
2015-02-20,21.17042613593489,39.17177860652462,-0.2372106909751892,0.05405436456203461,-0.03562505170702934,0.05174233391880989
2015-03-02,21.155627151302994,39.17094396821789,-0.0026343739591538906,0.05391952022910118,-0.06954240053892136,0.017792949452996254
2015-03-12,21.27750794479251,39.164693863557574,-0.07393761724233627,0.6230204105377197,-0.07489494234323502,0.02862749807536602
2015-03-22,21.186754563599823,39.16979209620824,-0.026762887835502625,1.2947086095809937,-0.032812368124723434,0.043432384729385376
2015-04-05,24.325297079639434,37.912557004988194,-0.06247016042470932,0.4759025275707245,-0.70599365234375,0.1929689198732376
2015-04-15,45.44111306758404,27.840857445152402,-0.1791210174560547,4.437392711639404,-1.4456801414489746,0.14107927680015564
2015-04-25,61.36910200016022,24.274017320232392,-0.17369344830513,0.2637803852558136,-0.018978124484419823,0.4511755406856537
2015-05-09,61.40376910706796,24.290905742399396,-0.09526470303535461,0.03779970109462738,-0.1504121571779251,0.1304444819688797
2015-05-19,61.37558480994225,24.267504171686173,-0.2083531618118286,0.03615756332874298,-0.021019626408815384,0.5061763525009155
2015-05-29,61.35317134756789,24.386077538674773,-0.0010001882910728455,0.060241665691137314,-0.2753467261791229,0.015034192241728306
2015-06-12,61.355047577735036,24.373767604943364,-0.02119569480419159,0.10003448277711868,-0.3190220892429352,0.02652932144701481
2015-06-22,61.439186487452986,24.274226666970254,-0.0031757510732859373,0.3197275996208191,-0.398694783449173,0.016891133040189743
2015-07-02,61.44749757285595,24.30677020686865,-0.11783916503190994,0.41309717297554016,-0.4119874835014343,0.04660848528146744
2015-07-12,61.479991441411975,24.172748496370314,-0.29607638716697693,0.0005048410384915769,-0.06099358946084976,0.37704241275787354
2015-07-22,61.415785145478246,24.2192058904171,-0.25380635261535645,-0.004348947666585445,-0.016628630459308624,0.3689766526222229
2015-08-01,61.47288560879976,23.975545700788498,-0.35698312520980835,2.2278891265159473e-06,-0.10324811190366745,0.8525285720825195
2015-08-11,61.4868297045064,24.065229264736175,-0.18281391263008118,0.005448930896818638,-0.09145611524581909,0.31974610686302185
2015-08-21,57.24596380581141,21.52799789790064,-0.17614559829235077,0.30786117911338806,-0.25711292028427124,0.548202395439148
