state,n_obs,top1,top3,dist_median_km,modelo,modo
global,405,0.6592592592592592,0.7975308641975308,14.390427847321519,rf,individual
estacionario,357,0.7170868347338936,0.8627450980392157,13.469454213823667,rf,individual
migración,48,0.22916666666666666,0.3125,218.40051007357806,rf,individual
