familia,top1_pers_train,top1_pers_test,gap_pers,top1_pob_train,top1_pob_test,gap_pob,diff_test_pers_vs_pob
rf,0.7766308835672997,0.5796383453059203,0.1969925382613794,0.7708505367464905,0.5694822888283378,0.20136824791815267,0.010156056477582442
xgb,0.7950041288191577,0.5922714887292544,0.20273264008990333,0.7907376823561795,0.5811245974733713,0.20961308488280816,0.011146891255883085
lgbm,0.5134186622625929,0.35843448105028486,0.15498418121230806,0.5030966143682907,0.37973742878375033,0.12335918558454034,-0.02130294773346547
