modelo,modo,version,top1,top3,log_loss,dist_median_km
rf,personalizado,L1-v0,0.6440426058954669,0.7535298488976964,5.223658243502516,23.13196680979708
rf,personalizado,L1-v1,0.6074882221671213,0.7401438135383089,5.4041107750202535,23.94296244786782
rf,poblacional,L1-v0,0.5566014367104285,0.7081991577904384,5.645938782542328,25.220965420974732
rf,poblacional,L1-v1,0.5968261839821473,0.7257624597074138,5.524649988585232,23.971125636007798
xgb,personalizado,L1-v0,0.621996532078276,0.7096854099578895,5.481210028905371,23.82501230442733
xgb,personalizado,L1-v1,0.6218695759980164,0.7096454252417556,5.464578056039913,23.82611237606875
xgb,poblacional,L1-v0,0.6098588060440921,0.7074560317067129,5.518495294240408,23.961988855606272
xgb,poblacional,L1-v1,0.6114554921894372,0.7059261095958344,5.50041889994679,23.941081529929136
