regimen,n,top1,dist_median_km,coverage_marginal,coverage_joint
estacionario,3509,0.8347107438016529,2.1357210531453914,0.8208891422057566,0.7249928754630949
migración,451,0.1973392461197339,61.03509593773288,0.7416851441241685,0.5964523281596452
