tolerance_min,coverage_pct,delta_mean_min,delta_median_min
30,19.60568157727369,0.0,0.0
60,94.63218147127411,47.569335543707155,60.0
90,94.63218147127411,47.569335543707155,60.0
120,97.52808988764045,49.72002434570907,60.0
180,97.8376086495654,50.13217768147346,60.0
240,97.8376086495654,50.13217768147346,60.0
