month_int,dist_km_median_markov,dist_km_median_persistence,log_loss_markov,log_loss_persistence,top1_acc_markov,top1_acc_persistence,delta_top1_acc,delta_dist_km_median
1.0,538.2704398902747,17.989111593195346,5.596315303818539,2.5089053458963506,0.3850889192886457,0.8789329685362517,-0.493844049247606,520.2813282970793
2.0,609.7897163399207,18.607590186267647,5.804639018339426,2.383408797498599,0.31366691560866317,0.8849887976101568,-0.5713218820014936,591.182126153653
3.0,73.78931336443416,17.903846919960834,5.928832987672903,3.78974191591243,0.3570391872278665,0.8171262699564587,-0.46008708272859217,55.88546644447333
4.0,55.73392092364054,26.39091389947789,6.005034049781147,8.126431907659201,0.3745819397993311,0.6078595317725752,-0.23327759197324416,29.34300702416265
5.0,35.65435642401993,22.225477600090024,5.478844325652553,6.258463203353348,0.412532637075718,0.6979982593559617,-0.2854656222802437,13.428878823929907
6.0,21.617962896510843,18.729978151560164,4.458416253972091,5.980181516557689,0.566171723692705,0.7114267269205939,-0.14525500322788898,2.8879847449506784
7.0,20.379803261956486,19.675139158580826,4.5234971987371635,6.480555379843727,0.5099183197199533,0.6872812135355892,-0.17736289381563597,0.7046641033756593
8.0,25.509101024824723,20.39031281187797,4.964719156613466,6.136967997570365,0.525096525096525,0.7038610038610038,-0.17876447876447876,5.118788212946754
9.0,42.30730118684967,21.47747765080479,5.866859271385029,7.693371654172853,0.40129781420765026,0.6287568306010929,-0.22745901639344263,20.82982353604488
10.0,40.39074725224836,23.006733175774052,5.751545268020341,6.984574578406723,0.39349871685201027,0.6629597946963216,-0.26946107784431134,17.38401407647431
11.0,57.753350193487606,20.27009011566765,5.600527524642071,4.617563946394446,0.37944025834230355,0.7771797631862217,-0.3977395048439182,37.483260077819956
12.0,49.58435965598114,18.22201273907319,5.53678247292433,3.3873416093835695,0.4232340922358436,0.8365440747227088,-0.4133099824868652,31.36234691690795
