bird_id,model,top1_acc,dist_km_median
91732A,markov,0.683222290200253,16.676780757931333
91732A,persistence,0.7342364240703381,16.676780757931333
91734A,markov,0.6623655913978495,6.195113746313734
91734A,persistence,0.8623655913978494,6.195113746313734
91735A,markov,0.4136021505376344,20.546730789174802
91735A,persistence,0.5710215053763441,22.71225574228334
91737A,markov,0.2530692111898283,970.8081892424896
91737A,persistence,0.6251816431970709,26.901308334663234
91738A,markov,0.6179392446633826,14.312424608173103
91738A,persistence,0.5752257799671593,26.107817205422684
91739A,markov,0.3942356891416032,37.28425918968313
91739A,persistence,0.6043075532591661,20.061789090118324
91740A,markov,0.2993388098577439,18.36800150131156
91740A,persistence,0.6927302477793361,17.541466296949938
91741A,markov,0.7226190476190476,10.825172848928535
91741A,persistence,0.7783882783882784,11.037953613448472
91742A,markov,0.27120719255444115,4047.6506542063853
91742A,persistence,0.8477918586789555,21.253212755243673
91743A,markov,0.28205128205128205,34.0292514570713
91743A,persistence,0.733974358974359,20.569592836224828
91745A,markov,0.3125,146.03210242617106
91745A,persistence,0.8180555555555555,10.699730730143777
91746A,markov,0.4814807458022141,16.59285582029885
91746A,persistence,0.6308398220244716,14.635504305334987
91747A,markov,0.6153846153846154,19.34149782114671
91747A,persistence,0.8653846153846154,19.34149782114671
91748A,markov,0.33671399594320484,6416.590254283585
91748A,persistence,0.49321452719018644,29.51005967488349
91749A,markov,0.2662754828978738,14.662566071415476
91749A,persistence,0.585568043594609,11.894297721827545
91750A,markov,0.49583333333333335,13.508682535926464
91750A,persistence,0.7828703703703704,13.294535213841407
91751A,markov,0.4793870921682016,26.284227334231723
91751A,persistence,0.6777366213206761,16.576739085690406
91752A,markov,0.061831654313254686,767.9485605446146
91752A,persistence,0.8074853855730549,24.557494149227708
91754A,markov,0.3161290322580645,6201.891879522744
91754A,persistence,0.7062427035330261,13.264562041035134
91758A,markov,0.5753657779170975,22.91632660620012
91758A,persistence,0.6588833356282037,22.91632660620012
91759A,markov,0.3685728250244379,46.175756696589204
91759A,persistence,0.6582258064516129,27.821858783214815
91761A,markov,0.5169537299313013,31.040686056310598
91761A,persistence,0.6868920666201749,21.00422587548354
91762A,markov,0.46885781379663466,28.924130214907816
91762A,persistence,0.6849324425728764,27.537918984013615
91763A,markov,0.6944603941203197,16.23088659559471
91763A,persistence,0.8654312479308186,15.990155544303729
91764A,markov,0.4155288160664505,34.16671399024419
91764A,persistence,0.5079308186835069,27.29472679603098
91766A,markov,1.0,20.408437089601552
91766A,persistence,1.0,20.408437089601552
91771A,markov,0.5373079877112135,13.680117804352879
91771A,persistence,0.8890937019969278,13.67163208930387
91774A,markov,0.5682913860333215,17.180527893673435
91774A,persistence,0.7461912639331993,10.618879473885201
91775A,markov,0.3888888888888889,3161.4492911579573
91775A,persistence,0.7172514619883041,26.542435413098456
91776A,markov,0.6451612903225806,19.521933136079213
91776A,persistence,0.978494623655914,19.50145792568047
91779A,markov,0.3525345622119816,35.36242574289127
91779A,persistence,0.4232718894009217,34.655454420187894
91780A,markov,0.33502019214629186,73.55905586943913
91780A,persistence,0.6981134625122896,26.246618950037067
91781A,markov,0.7017281105990784,11.453034152781935
91781A,persistence,0.7428187403993856,11.453034152781935
91782A,markov,0.2855007756425999,53.28618926998694
91782A,persistence,0.7876525927415805,14.514201846488467
91783A,markov,0.2696620583717358,2956.2196896918804
91783A,persistence,0.6932411674347159,26.765309723576628
91788A,markov,0.46673221515326785,32.02789938196019
91788A,persistence,0.5206809331019857,30.67916988399424
91789A,markov,0.5710965634564956,21.55406064758964
91789A,persistence,0.9232820681462447,20.283764921582915
91794A,markov,0.33044444444444443,52.19876477847602
91794A,persistence,0.6638005698005698,19.147922487885722
91795A,markov,0.9230769230769231,26.15772096043044
91795A,persistence,1.0,26.153556833681094
91798A,markov,0.5941176470588235,26.22277155213567
91798A,persistence,0.9018099547511312,26.136157438210454
91799A,markov,0.13636363636363635,174.55022696940483
91799A,persistence,0.6914983164983165,20.922073241363037
91802A,markov,0.3416666666666667,4504.5864392748645
91802A,persistence,0.8337301587301587,14.172239937969735
91803A,markov,0.5885836385836386,31.407419410596496
91803A,persistence,0.7413614163614164,21.802635724570727
91809A,markov,0.46990740740740744,30.103485506484034
91809A,persistence,0.6813566734937703,23.323479520563048
91810A,markov,0.10057471264367815,39.47183520376051
91810A,persistence,0.7988505747126436,15.163865689149347
91811A,markov,0.06666666666666667,2485.343576409283
91811A,persistence,0.7141173003241968,21.855265605745252
91812A,markov,0.19722222222222222,2050.7851313445813
91812A,persistence,0.617768959435626,24.71622391194581
