metric,value
n_observaciones_validas,20672.0
pct_migracion_b,13.87
mu_step_estacionario_km,6.23
mu_step_migracion_km,190.81
mes_minimo_migracion,6.0
mes_maximo_migracion,4.0
pct_acuerdo_ab,98.07
