scope,bird_id,month_int,model,n_predictions,top1_acc,top3_acc,dist_km_median,dist_km_p90,log_loss
month,,1.0,markov,1462,0.3850889192886457,0.43365253077975374,538.2704398902747,2941.612632640325,5.596315303818539
month,,1.0,persistence,1462,0.8789329685362517,0.8789329685362517,17.989111593195346,31.694870914103646,2.5089053458963506
month,,2.0,markov,1339,0.31366691560866317,0.40253920836445106,609.7897163399207,2941.720850208014,5.804639018339426
month,,2.0,persistence,1339,0.8849887976101568,0.8849887976101568,18.607590186267647,32.93899706416524,2.383408797498599
month,,3.0,markov,1378,0.3570391872278665,0.42380261248185774,73.78931336443416,2942.153031774421,5.928832987672903
month,,3.0,persistence,1378,0.8171262699564587,0.8171262699564587,17.903846919960834,40.39393693523945,3.78974191591243
month,,4.0,markov,1196,0.3745819397993311,0.46153846153846156,55.73392092364054,4454.667992788484,6.005034049781147
month,,4.0,persistence,1196,0.6078595317725752,0.6078595317725752,26.39091389947789,211.84293403088947,8.126431907659201
month,,5.0,markov,1149,0.412532637075718,0.48389904264577893,35.65435642401993,2978.1535876876683,5.478844325652553
month,,5.0,persistence,1149,0.6979982593559617,0.6979982593559617,22.225477600090024,69.7836196842153,6.258463203353348
month,,6.0,markov,1549,0.566171723692705,0.7030342156229825,21.617962896510843,768.9665524092468,4.458416253972091
month,,6.0,persistence,1549,0.7114267269205939,0.7114267269205939,18.729978151560164,39.48915782124192,5.980181516557689
month,,7.0,markov,1714,0.5099183197199533,0.7012835472578763,20.379803261956486,769.4336269648364,4.5234971987371635
month,,7.0,persistence,1714,0.6872812135355892,0.6872812135355892,19.675139158580826,47.86856181259274,6.480555379843727
month,,8.0,markov,2590,0.525096525096525,0.6494208494208494,25.509101024824723,5548.164015863619,4.964719156613466
month,,8.0,persistence,2590,0.7038610038610038,0.7038610038610038,20.39031281187797,52.23911965950114,6.136967997570365
month,,9.0,markov,2928,0.40129781420765026,0.48189890710382516,42.30730118684967,5657.61089262556,5.866859271385029
month,,9.0,persistence,2928,0.6287568306010929,0.6287568306010929,21.47747765080479,173.54919163949523,7.693371654172853
month,,10.0,markov,2338,0.39349871685201027,0.481180496150556,40.39074725224836,5538.3464102379385,5.751545268020341
month,,10.0,persistence,2338,0.6629597946963216,0.6629597946963216,23.006733175774052,131.03481626647442,6.984574578406723
month,,11.0,markov,1858,0.37944025834230355,0.4881593110871905,57.753350193487606,2951.4833382449674,5.600527524642071
month,,11.0,persistence,1858,0.7771797631862217,0.7771797631862217,20.27009011566765,55.7303464351211,4.617563946394446
month,,12.0,markov,1713,0.4232340922358436,0.4903677758318739,49.58435965598114,2937.9463631512326,5.53678247292433
month,,12.0,persistence,1713,0.8365440747227088,0.8365440747227088,18.22201273907319,37.087368502864756,3.3873416093835695
