mes,n,top1,dist_median_km,coverage_marginal,coverage_joint
1,213,0.8826291079812206,2.138933231791839,0.8333333333333334,0.7323943661971831
2,269,0.8884758364312267,2.222776693057976,0.8364312267657993,0.7732342007434945
3,312,0.8237179487179487,3.011873012189864,0.8573717948717948,0.7628205128205128
4,257,0.5953307392996109,6.607760743065973,0.8229571984435797,0.7276264591439688
5,250,0.812,1.2383313968628373,0.792,0.72
6,219,0.7671232876712328,2.7230312688317313,0.8082191780821918,0.6940639269406392
7,331,0.7190332326283988,2.6920521132498267,0.7824773413897281,0.6586102719033232
8,419,0.7374701670644391,1.594604412633129,0.8066825775656324,0.7016706443914081
9,413,0.6585956416464891,3.622504598131036,0.7941888619854721,0.6803874092009685
10,492,0.7357723577235772,3.765531179852136,0.806910569105691,0.693089430894309
11,410,0.8146341463414634,2.6044925507246353,0.8353658536585366,0.7439024390243902
12,375,0.7866666666666666,2.7395412088536957,0.784,0.6746666666666666
